num_large_appliances,total_units_purchased,total_units_purchased_on_mfr_coup,total_units_purchased_on_store_coup,num_small_appliances,num_pets,num_members_in_household,household_income,male_head_avg_work_hours,female_head_avg_work_hours,household_id,rim_market,primary_head_avg_work_hours,total_head_avg_work_hours,weekday_shopper,weekday_purchase_percentage,residence_status,k3
12,132,1,0,14,0,4,5,50,50,1109850,1,50,100,1,0.51515152,1,2
12,98,0,3,10,0,1,2,0,0,1109868,1,0,0,1,0.78571429,1,2
8,83,2,0,15,0,4,6,40,50,1109876,1,50,90,0,0.36144578,1,0
10,115,5,10,19,1,4,6,50,0,1110015,1,0,50,0,0.34782609,1,0
8,71,5,2,12,0,1,3,0,0,1110023,1,0,0,1,0.66197183,2,2
8,180,0,1,15,0,4,8,40,42,1110049,1,42,82,1,0.59444444,1,2
8,172,8,1,4,0,2,10,40,45,1110064,1,45,85,1,0.85465116,1,2
14,110,0,3,15,0,6,4,40,24,1110098,1,24,64,1,0.64545455,1,2
12,10,0,0,16,0,1,8,0,0,1110114,1,0,0,1,0.6,1,2
14,117,7,0,14,1,2,4,0,0,1110122,1,0,0,1,0.76923077,1,2
10,25,0,0,4,0,1,7,0,40,1110130,1,40,40,1,0.6,1,2
10,67,3,6,10,0,1,3,0,40,1110148,1,40,40,0,0.40298507,2,0
8,56,0,0,7,0,2,6,48,0,1110163,1,0,48,1,0.66071429,1,2
16,129,14,3,18,0,6,9,50,50,1110171,1,50,100,1,0.74418605,1,2
10,128,0,1,15,1,3,7,45,0,1110197,1,0,45,1,0.515625,1,2
10,165,0,0,19,1,4,6,40,0,1110221,1,0,40,1,0.56969697,1,2
12,231,13,1,13,0,5,7,40,40,1110247,1,40,80,1,0.67099567,1,2
10,192,2,5,12,1,3,7,51,40,1110320,1,40,91,1,0.71875,1,2
10,189,4,2,10,1,3,5,25,60,1110346,1,60,85,1,0.53439153,1,2
6,67,6,4,14,1,3,3,60,0,1110353,1,0,60,1,0.71641791,2,2
12,44,1,5,15,0,2,5,0,0,1110387,1,0,0,1,0.90909091,1,2
4,29,4,0,16,0,1,7,0,0,1110437,1,0,0,1,0.93103448,2,2
8,197,6,3,14,1,5,7,40,30,1110486,1,30,70,0,0.43654822,1,0
12,218,7,1,13,1,4,7,40,37,1110510,1,37,77,0,0.40366972,1,0
12,197,0,0,18,1,3,10,55,36,1110528,1,36,91,0,0.37563452,1,0
10,91,1,3,13,0,2,8,25,0,1110544,1,0,25,1,0.76923077,1,2
10,130,4,2,10,1,2,6,0,40,1110585,1,40,40,0,0.46923077,1,0
10,35,0,10,14,0,2,4,0,0,1110593,1,0,0,1,0.77142857,2,2
10,224,2,6,14,0,2,5,30,0,1110650,1,0,30,1,0.85267857,1,2
10,47,0,2,12,0,1,5,0,32,1110718,1,32,32,1,0.65957447,1,2
10,39,4,0,11,0,2,4,0,0,1110759,1,0,0,1,0.8974359,1,2
12,114,3,0,10,1,4,7,40,40,1110767,1,40,80,0,0.44736842,1,0
10,38,0,3,12,1,1,2,0,30,1110791,1,30,30,0,0.26315789,1,0
12,127,2,3,14,0,2,5,50,40,1110833,1,40,90,0,0.30708661,1,0
12,292,8,0,8,1,4,5,40,40,1110841,1,40,80,1,0.52054795,1,2
8,206,9,11,14,1,2,6,43,36,1110874,1,36,79,1,0.59223301,1,2
8,39,6,0,10,0,1,4,0,40,1110890,1,40,40,1,0.97435897,1,2
14,56,0,0,14,0,3,8,40,43,1110916,1,43,83,1,0.875,1,2
14,101,0,0,19,2,3,6,0,30,1110973,1,30,30,1,0.74257426,1,2
10,8,0,0,11,0,1,4,0,0,1110981,1,0,0,1,0.875,1,2
11,171,2,2,15,0,5,5,40,0,1111039,1,0,40,1,1,1,2
14,117,0,1,15,0,6,7,40,30,1111047,1,30,70,1,0.85470085,1,2
10,77,4,8,6,0,4,7,40,40,1111138,1,40,80,1,0.79220779,1,2
12,45,0,1,15,1,2,7,45,47,1111146,1,47,92,1,0.75555556,1,2
8,29,0,5,15,1,2,7,50,46,1111211,1,46,96,0,0.4137931,1,0
11,494,0,0,9,1,2,7,45,30,1111229,1,30,75,0,0.49392713,1,0
4,34,0,1,9,0,1,4,47,0,1111237,1,0,47,0,0.38235294,2,0
12,204,7,5,16,2,3,7,50,24,1111245,1,24,74,1,0.81372549,1,2
2,102,8,6,8,0,1,1,0,0,1111252,1,0,0,1,0.93137255,2,2
10,78,0,0,10,1,2,4,21,50,1111336,1,50,71,0,0.32051282,1,0
8,98,13,0,13,0,1,2,0,9,1111344,1,9,9,1,0.89795918,1,2
14,110,0,0,15,4,3,11,45,0,1111351,1,0,45,1,0.80909091,1,2
12,394,8,29,11,1,4,6,40,30,1111435,1,30,70,0,0.48984772,1,0
10,15,0,4,18,0,4,10,50,40,1111476,1,40,90,1,0.6,1,2
10,410,6,2,13,1,4,5,40,30,1111492,1,30,70,0,0.27073171,1,0
10,63,2,0,12,2,3,3,0,40,1111500,1,40,40,1,0.79365079,1,2
3,85,3,9,7,0,2,4,0,20,1111526,1,20,20,1,0.89411765,2,2
9,116,14,11,13,0,2,6,45,18,1111567,1,18,63,0,0.24137931,1,0
7,69,0,0,14,2,2,5,0,75,1111617,1,75,75,1,0.76811594,1,2
12,390,2,1,15,1,5,8,40,40,1111690,1,40,80,0,0.39487179,1,0
14,257,0,0,12,0,4,6,0,40,1111732,1,40,40,1,0.78988327,1,2
14,141,5,6,15,0,3,1,50,0,1111757,1,0,50,1,0.60283688,1,2
12,654,1,6,11,2,3,12,50,0,1111765,1,0,50,1,0.77217125,1,2
10,83,0,2,11,2,3,7,45,18,1111831,1,18,63,1,0.61445783,1,2
7,185,0,0,13,9,3,3,50,40,1111856,1,40,90,1,0.8972973,2,2
12,67,9,1,9,0,2,6,50,38,1111864,1,38,88,1,0.73134328,1,2
4,119,6,0,11,0,1,5,0,36,1111880,1,36,36,1,0.87394958,2,2
10,88,0,5,13,0,2,5,40,0,1111914,1,0,40,1,0.76136364,2,2
12,165,0,5,11,1,5,11,50,10,1111963,1,10,60,1,0.90909091,1,2
13,65,0,0,14,4,3,11,50,40,1112052,1,40,90,1,0.90769231,1,2
12,264,0,0,15,0,3,9,50,40,1112078,1,40,90,1,0.70454545,1,2
12,362,6,3,15,0,3,7,40,29,1112086,1,29,69,1,0.52762431,1,2
2,28,6,4,6,0,1,3,0,1,1112128,1,1,1,1,0.82142857,2,2
12,168,13,8,18,0,5,5,48,5,1112185,1,5,53,1,0.73214286,1,2
16,89,0,0,19,2,5,11,40,8,1112193,1,8,48,1,0.83146067,1,2
12,102,11,2,17,1,4,7,40,40,1112250,1,40,80,0,0.49019608,1,0
2,107,3,0,11,0,3,2,0,17,1112300,1,17,17,1,0.88785047,2,2
10,200,4,15,15,1,3,5,40,45,1112383,1,45,85,0,0.41,1,0
12,225,12,16,11,1,4,7,50,0,1112482,1,0,50,0,0.47111111,1,0
8,141,10,11,15,1,1,12,40,0,1112490,1,0,40,1,0.66666667,1,2
2,100,4,33,10,0,1,3,0,0,1112508,1,0,0,1,0.71,2,2
2,102,2,3,12,0,2,3,0,0,1112516,1,0,0,1,1,2,2
10,117,5,38,10,0,2,7,0,0,1112557,1,0,0,1,0.74358974,1,2
12,284,7,30,14,1,5,3,40,0,1112573,1,0,40,1,0.62676056,1,2
10,169,13,0,19,0,4,4,40,0,1112615,1,0,40,1,0.78106509,1,2
8,332,7,2,17,1,4,5,45,6,1112623,1,6,51,1,0.94879518,1,2
12,78,0,11,12,0,2,3,0,0,1112664,1,0,0,1,0.55128205,2,2
14,141,3,0,17,0,2,12,45,18,1112698,1,18,63,1,0.5035461,1,2
4,140,0,30,10,0,1,4,0,36,1112706,1,36,36,1,0.73571429,2,2
8,212,2,5,14,2,6,6,40,42,1112730,1,42,82,0,0.43867925,1,0
8,377,7,4,14,1,3,5,40,5,1112748,1,5,45,1,0.74535809,1,2
6,381,10,0,11,0,3,1,0,36,1112755,1,36,36,1,0.9160105,2,2
12,165,0,1,15,0,3,4,40,40,1112813,1,40,80,0,0.41212121,1,0
14,110,2,0,17,0,2,11,40,45,1112888,1,45,85,1,0.76363636,1,2
6,29,0,3,14,0,2,7,0,48,1112938,1,48,48,1,0.68965517,1,2
13,219,3,23,9,1,5,8,48,20,1112946,1,20,68,1,0.78995434,1,2
14,43,0,0,16,1,4,6,40,40,1112961,1,40,80,1,0.74418605,1,2
14,243,6,13,15,0,6,6,32,40,1113043,1,40,72,1,0.6872428,1,2
12,15,1,1,17,0,2,9,0,20,1113076,1,20,20,1,0.66666667,1,2
14,205,25,0,21,1,6,7,52,8,1113126,1,8,60,1,0.56097561,1,2
12,185,0,11,16,1,2,11,40,0,1113134,1,0,40,0,0.44324324,1,0
12,127,3,3,17,1,4,6,40,40,1113142,1,40,80,0,0.07874016,1,0
2,21,2,0,4,0,1,1,0,0,1113167,1,0,0,1,0.95238095,2,2
8,138,0,9,17,2,4,4,40,30,1113183,1,30,70,1,0.7173913,1,2
10,150,19,1,13,0,2,5,45,0,1113209,1,0,45,1,0.74666667,1,2
12,61,0,6,13,0,2,11,45,20,1113217,1,20,65,1,0.72131148,1,2
10,44,1,0,15,0,4,8,50,40,1113225,1,40,90,1,0.68181818,1,2
12,382,0,26,9,2,5,8,46,30,1113241,1,30,76,1,0.68062827,1,2
16,140,2,4,15,4,2,9,60,40,1113290,1,40,100,1,0.59285714,2,2
10,127,12,2,16,0,2,4,0,0,1113340,1,0,0,1,0.74015748,1,2
6,4,0,0,14,1,2,6,0,41,1113357,1,41,41,0,0.25,2,0
12,121,5,1,8,0,2,10,0,45,1113381,1,45,45,1,0.85123967,1,2
12,187,0,0,11,0,5,5,40,0,1113456,1,0,40,1,0.78609626,1,2
10,238,7,5,17,0,4,5,40,36,1113472,1,36,76,1,0.80252101,1,2
14,123,10,0,17,0,5,6,40,55,1113498,1,55,95,1,0.87804878,1,2
8,26,0,1,6,0,1,4,0,0,1113514,1,0,0,1,0.76923077,1,2
14,262,4,7,16,2,4,10,45,40,1113522,1,40,85,0,0.35496183,1,0
10,130,2,4,13,2,3,7,40,40,1113548,1,40,80,0,0.36153846,1,0
8,176,0,6,15,0,6,6,45,0,1113563,1,0,45,1,0.64204545,1,2
12,222,7,10,11,0,2,3,0,0,1113613,1,0,0,1,0.68918919,1,2
9,180,4,7,13,1,2,6,40,40,1113746,1,40,80,1,0.88888889,1,2
8,28,5,0,12,0,2,2,0,0,1113753,1,0,0,1,0.92857143,1,2
8,68,1,1,16,0,4,8,40,40,1113803,1,40,80,1,0.54411765,1,2
14,136,4,17,13,3,2,8,47,47,1113811,1,47,94,1,0.96323529,1,2
8,265,0,15,15,0,2,5,0,60,1113852,1,60,60,0,0.49056604,1,0
14,111,0,0,18,2,6,11,55,20,1113860,1,20,75,1,0.89189189,1,2
14,40,0,3,19,0,4,12,0,34,1113894,1,34,34,0,0.5,1,0
2,147,0,8,8,0,1,5,0,45,1113936,1,45,45,1,0.62585034,2,2
12,195,0,9,18,0,2,10,43,0,1113969,1,0,43,1,0.88717949,1,2
2,9,0,0,10,0,1,4,0,40,1114017,1,40,40,1,0.66666667,2,2
11,90,0,2,17,2,2,3,0,40,1114041,1,40,40,0,0.34444444,2,0
8,26,1,2,12,0,1,3,0,40,1114058,1,40,40,1,0.53846154,1,2
14,253,2,0,21,3,5,13,60,0,1114082,1,0,60,1,0.73913043,1,2
14,55,0,5,17,2,2,5,40,40,1114090,1,40,80,1,0.58181818,1,2
10,86,0,5,14,1,3,7,40,40,1114132,1,40,80,1,0.91860465,1,2
10,102,5,0,8,0,2,3,0,0,1114140,1,0,0,1,0.97058824,1,2
12,238,6,36,19,1,2,9,25,40,1114173,1,40,65,0,0.32773109,1,0
8,136,0,2,10,0,4,6,9,0,1114181,1,0,9,1,0.79411765,1,2
10,70,4,4,14,0,2,9,40,0,1114256,1,0,40,1,0.84285714,1,2
7,100,3,0,13,2,2,5,40,40,1114264,1,40,80,1,0.89,2,2
10,80,5,5,15,2,3,9,40,40,1114280,1,40,80,1,0.6375,1,2
14,41,7,0,15,0,5,10,50,16,1114298,1,16,66,1,0.82926829,1,2
12,131,4,24,16,1,3,9,55,35,1114322,1,35,90,1,1,1,2
12,124,14,18,16,1,2,7,40,0,1114330,1,0,40,1,0.75806452,1,2
14,246,3,0,13,0,4,5,40,30,1114348,1,30,70,1,0.52439024,1,2
13,309,9,12,11,0,2,4,18,40,1114405,1,40,58,1,0.93527508,1,2
14,256,3,26,18,0,2,7,40,28,1114413,1,28,68,0,0.4453125,1,0
12,108,8,5,17,1,3,10,45,0,1114421,1,0,45,1,0.93518519,1,2
14,54,8,1,14,0,2,5,40,25,1114447,1,25,65,1,0.55555556,1,2
12,100,2,6,13,0,2,8,40,40,1114454,1,40,80,0,0.42,1,0
2,222,0,3,19,0,3,3,0,40,1114520,1,40,40,1,0.59009009,2,2
11,276,5,9,14,2,5,7,72,20,1114546,1,20,92,1,0.6557971,1,2
9,101,3,0,13,1,2,6,40,38,1114561,1,38,78,0,0.44554455,1,0
12,51,4,0,9,0,2,2,35,40,1114587,1,40,75,1,0.8627451,1,2
6,31,0,0,10,1,1,2,0,0,1114611,1,0,0,1,0.67741935,1,2
12,152,8,1,18,0,5,4,40,0,1114637,1,0,40,1,0.91447368,1,2
8,47,8,2,13,2,2,3,40,45,1114652,1,45,85,1,0.80851064,2,2
12,17,5,0,14,0,2,5,40,40,1114694,1,40,80,1,0.70588235,1,2
12,103,1,5,17,1,3,8,40,42,1114710,1,42,82,0,0.17475728,1,0
8,233,10,1,12,0,2,6,0,0,1114736,1,0,0,1,0.98712446,1,2
10,300,8,39,12,0,2,7,40,20,1114751,1,20,60,1,0.75,1,2
8,86,10,0,14,0,3,3,0,40,1114785,1,40,40,1,0.80232558,2,2
12,205,19,14,13,0,4,6,41,40,1114801,1,40,81,0,0.3804878,1,0
12,333,4,0,12,0,4,4,20,40,1114827,1,40,60,1,0.54654655,1,2
10,111,12,2,13,3,1,4,0,21,1114835,1,21,21,1,0.67567568,1,2
11,214,0,4,16,0,3,5,45,16,1114850,1,16,61,1,0.58878505,1,2
14,117,11,6,16,0,3,6,50,30,1114900,1,30,80,1,0.64102564,2,2
9,114,14,10,16,0,2,5,0,0,1114918,1,0,0,0,0.16666667,1,0
8,30,2,3,16,0,1,3,0,40,1114934,1,40,40,1,0.9,2,2
14,199,8,6,14,0,5,9,40,40,1114959,1,40,80,1,0.86934673,1,2
12,142,0,3,16,0,5,7,45,40,1114975,1,40,85,0,0.49295775,1,0
12,91,4,1,16,0,3,10,50,40,1114983,1,40,90,0,0.48351648,1,0
6,27,0,0,8,2,1,3,0,0,1114991,1,0,0,1,0.85185185,1,2
10,283,3,6,6,1,3,5,40,40,1115022,1,40,80,1,0.81978799,1,2
12,108,0,1,15,3,3,4,20,30,1115048,1,30,50,0,0.36111111,1,0
8,29,2,0,17,1,2,7,40,40,1115055,1,40,80,1,0.65517241,1,2
14,100,6,4,13,1,2,3,0,40,1115071,1,40,40,1,0.9,1,2
10,111,2,6,15,1,2,2,0,40,1115089,1,40,40,1,0.56756757,1,2
4,127,0,0,8,0,2,2,0,0,1115097,1,0,0,1,0.76377953,2,2
10,695,0,0,13,2,4,8,50,40,1115105,1,40,90,0,0.47625899,1,0
2,87,0,0,12,0,3,6,0,40,1115204,1,40,40,1,0.75862069,2,2
12,306,0,0,13,0,4,3,35,35,1115295,1,35,70,1,0.53594771,1,2
5,71,8,1,8,0,1,4,0,0,1115303,1,0,0,1,1,2,2
4,83,0,0,9,0,2,6,0,40,1115345,1,40,40,1,0.56626506,2,2
6,53,0,1,12,1,1,4,0,42,1115352,1,42,42,0,0.41509434,1,0
6,47,2,18,10,0,1,2,0,0,1115360,1,0,0,1,0.85106383,2,2
14,311,4,6,13,1,5,11,50,25,1115428,1,25,75,1,0.64630225,1,2
8,91,0,2,15,0,2,6,32,40,1115493,1,40,72,1,0.53846154,1,2
10,152,7,5,19,0,2,8,32,40,1115550,1,40,72,0,0.48026316,1,0
14,209,0,1,18,0,5,4,51,0,1115576,1,0,51,1,0.61244019,1,2
10,474,24,13,14,1,2,7,40,0,1115584,1,0,40,1,0.75738397,2,2
10,271,10,26,11,0,2,11,45,45,1115592,1,45,90,1,0.83394834,1,2
14,120,3,17,17,0,2,6,45,42,1115626,1,42,87,1,0.575,1,2
14,189,7,6,10,0,7,4,48,7,1115634,1,7,55,1,0.75661376,1,2
11,260,2,3,13,0,5,3,40,40,1115667,1,40,80,0,0.38076923,1,0
8,85,0,0,14,0,2,3,0,20,1115691,1,20,20,1,0.72941176,1,2
2,127,0,6,8,0,1,2,0,0,1115717,1,0,0,1,0.87401575,2,2
9,143,0,0,16,0,6,5,70,35,1115758,1,35,105,0,0.13286713,2,0
12,279,0,0,16,1,3,13,60,30,1115782,1,30,90,1,0.74551971,1,2
16,120,4,4,17,0,4,9,40,20,1115923,1,20,60,1,0.8,1,2
14,239,15,47,19,0,2,6,0,0,1115949,1,0,0,1,0.88702929,1,2
8,18,0,1,12,1,1,5,0,40,1115964,1,40,40,0,0.5,1,0
12,163,6,2,17,1,3,5,50,35,1115972,1,35,85,1,0.6809816,1,2
14,321,4,2,16,3,5,8,58,47,1115998,1,47,105,1,0.84735202,1,2
12,37,0,4,15,1,2,12,40,50,1116004,1,50,90,1,0.72972973,1,2
11,101,6,0,17,0,3,6,50,40,1116012,1,40,90,0,0.27722772,1,0
10,75,8,19,15,1,4,10,40,25,1116053,1,25,65,1,0.89333333,1,2
8,52,1,2,9,0,1,6,40,0,1116061,1,0,40,1,0.69230769,1,2
12,177,4,0,17,1,3,12,60,0,1116079,1,0,60,1,0.51412429,1,2
10,40,0,0,7,1,3,3,0,25,1116111,1,25,25,1,0.675,1,2
2,122,0,7,9,0,1,2,0,0,1116194,1,0,0,1,0.96721311,2,2
2,19,4,2,4,0,1,1,0,0,1116228,1,0,0,1,1,2,2
10,215,0,6,10,1,4,6,50,15,1116319,1,15,65,1,0.84186047,1,2
8,126,15,7,12,1,1,2,0,0,1116335,1,0,0,1,0.93650794,1,2
14,141,7,0,12,1,3,6,40,40,1116368,1,40,80,0,0.11347518,1,0
10,114,16,1,17,0,4,8,44,20,1116418,1,20,64,1,0.85964912,1,2
11,140,6,3,7,1,2,3,0,0,1116509,1,0,0,1,0.8,1,2
6,57,5,3,11,0,1,3,0,28,1116517,1,28,28,1,0.96491228,2,2
14,26,0,3,13,0,2,7,45,40,1116533,1,40,85,1,0.76923077,1,2
14,90,2,0,14,1,6,11,60,20,1116608,1,20,80,1,0.68888889,1,2
7,48,0,0,11,0,1,5,0,40,1116616,1,40,40,1,0.625,2,2
10,193,0,0,12,0,6,8,40,25,1116632,1,25,65,1,0.85492228,1,2
14,333,0,1,15,2,6,6,50,0,1116640,1,0,50,0,0.13513514,1,0
8,218,0,21,12,1,4,6,50,24,1116681,1,24,74,1,0.65137615,1,2
14,374,0,8,19,1,7,7,43,0,1116699,1,0,43,1,0.54812834,1,2
10,119,5,13,17,0,2,4,0,40,1116756,1,40,40,0,0.43697479,1,0
14,35,0,0,12,0,2,4,0,0,1116871,1,0,0,1,0.68571429,1,2
8,85,0,0,9,2,2,5,0,52,1116939,1,52,52,0,0.48235294,1,0
12,218,0,0,17,0,2,5,0,0,1116962,1,0,0,1,0.86238532,1,2
6,917,3,2,8,0,5,3,42,25,1116970,1,25,67,1,0.66739368,2,2
12,160,7,0,19,1,3,6,60,20,1116996,1,20,80,1,0.6,1,2
16,234,2,0,21,1,4,7,50,0,1117077,1,0,50,0,0.44017094,1,0
8,277,7,2,14,0,6,4,70,40,1117085,1,40,110,1,0.67148014,1,2
13,146,0,0,16,0,3,11,55,40,1117093,1,40,95,1,0.60273973,1,2
12,245,0,1,14,1,2,6,40,20,1117143,1,20,60,1,0.66122449,1,2
14,319,10,10,15,2,3,7,0,35,1117150,1,35,35,1,0.61755486,1,2
2,130,26,20,9,1,5,1,50,20,1117192,1,20,70,1,0.90769231,2,2
10,180,6,11,4,0,1,2,0,0,1117226,1,0,0,1,0.68333333,1,2
12,100,4,7,14,0,1,5,0,0,1117259,1,0,0,1,0.73,1,2
2,34,0,0,12,0,1,5,0,0,1117275,1,0,0,1,0.88235294,2,2
13,271,6,2,17,1,5,7,55,17,1117325,1,17,72,1,0.7896679,1,2
12,225,0,0,15,2,2,7,58,40,1117333,1,40,98,0,0.38222222,1,0
7,33,0,0,13,0,1,4,0,40,1117366,1,40,40,1,0.63636364,1,2
13,150,2,2,15,1,5,6,40,20,1117374,1,20,60,1,0.72666667,1,2
5,38,3,0,7,0,1,1,0,0,1117424,1,0,0,1,0.84210526,1,2
9,82,1,2,11,0,2,4,0,30,1117473,1,30,30,1,0.76829268,1,2
2,88,4,2,4,0,1,1,0,0,1117580,1,0,0,1,0.76136364,2,2
10,31,3,0,9,1,2,5,0,0,1117606,1,0,0,1,0.87096774,1,2
12,148,2,4,15,1,2,4,0,37,1117648,1,37,37,1,0.68918919,1,2
10,106,4,1,9,0,6,2,40,0,1117671,1,0,40,1,0.67924528,2,2
9,178,0,7,11,1,2,7,50,30,1117689,1,30,80,0,0.35393258,1,0
12,194,1,5,17,1,4,7,40,40,1117804,1,40,80,0,0.27319588,1,0
10,146,0,4,10,2,4,4,60,40,1117812,1,40,100,1,0.65068493,1,2
12,120,0,0,17,1,2,11,50,20,1117838,1,20,70,1,0.90833333,1,2
11,132,4,0,18,1,4,5,45,50,1117853,1,50,95,0,0.48484848,1,0
11,282,8,0,13,0,5,6,52,40,1117879,1,40,92,0,0.33687943,1,0
13,178,3,3,13,0,5,5,45,25,1117887,1,25,70,1,0.59550562,1,2
14,207,17,0,16,3,6,9,40,30,1117895,1,30,70,1,0.67149758,1,2
12,58,7,11,15,0,2,8,40,0,1117903,1,0,40,1,0.55172414,1,2
9,72,1,1,17,2,1,5,0,37,1117929,1,37,37,1,0.77777778,2,2
10,146,0,0,17,1,7,6,48,40,1117952,1,40,88,0,0.34931507,1,0
7,151,3,0,11,1,3,5,0,40,1117978,1,40,40,1,0.50331126,1,2
12,23,0,1,15,0,1,2,0,0,1118018,1,0,0,1,0.7826087,1,2
10,345,3,1,14,0,2,5,60,0,1118026,1,0,60,1,0.86376812,1,2
8,103,11,0,14,0,2,4,0,2,1118034,1,2,2,1,0.54368932,1,2
10,184,6,6,21,1,2,8,50,0,1118067,1,0,50,1,0.73369565,1,2
10,116,6,1,14,0,2,1,24,0,1118091,1,0,24,1,0.86206897,1,2
16,231,4,19,13,1,2,4,50,35,1118109,1,35,85,1,0.8008658,1,2
12,127,3,0,9,0,2,3,0,0,1118125,1,0,0,1,0.71653543,1,2
7,252,6,0,14,2,5,6,45,40,1118158,1,40,85,1,0.63095238,1,2
11,163,0,8,17,1,5,9,40,24,1118182,1,24,64,1,0.73619632,1,2
12,292,8,3,15,0,4,6,40,40,1118232,1,40,80,1,0.56849315,1,2
10,66,2,0,7,0,2,8,45,40,1118240,1,40,85,1,0.90909091,1,2
8,87,3,4,7,1,2,5,0,37,1118281,1,37,37,1,0.7816092,1,2
12,106,7,3,12,0,2,8,0,0,1118299,1,0,0,1,0.67924528,1,2
12,142,12,60,13,2,3,4,50,30,1118315,1,30,80,1,0.92253521,1,2
10,181,0,0,15,2,5,9,35,38,1118323,1,38,73,1,0.70165746,1,2
12,26,0,1,14,1,1,6,0,54,1118398,1,54,54,1,0.53846154,1,2
10,99,0,0,18,1,4,8,50,47,1118406,1,47,97,1,0.52525253,1,2
2,13,1,1,12,0,1,6,0,20,1118448,1,20,20,1,0.84615385,2,2
10,58,2,1,12,2,2,3,0,0,1118455,1,0,0,1,0.79310345,1,2
12,61,5,0,15,1,1,5,0,40,1118489,1,40,40,1,0.62295082,1,2
8,100,0,1,14,3,3,5,0,32,1118505,1,32,32,1,0.59,1,2
12,254,4,8,10,1,4,4,40,0,1118562,1,0,40,1,0.75984252,1,2
7,221,8,0,15,1,4,6,42,40,1118612,1,40,82,0,0.29864253,1,0
10,188,18,30,16,0,4,7,40,25,1118620,1,25,65,1,0.57446809,1,2
10,103,0,13,15,1,3,5,40,40,1118646,1,40,80,0,0.24271845,1,0
4,179,10,12,12,0,1,3,0,15,1118679,1,15,15,1,0.94413408,2,2
12,189,3,5,17,0,2,8,40,40,1118695,1,40,80,1,0.66137566,1,2
15,172,4,2,16,0,3,6,51,40,1118778,1,40,91,0,0.49418605,1,0
12,82,3,3,15,1,2,11,60,0,1118794,1,0,60,1,0.96341463,1,2
12,436,2,11,16,0,5,8,50,17,1118810,1,17,67,1,0.64449541,1,2
8,160,0,3,16,0,2,9,40,0,1118828,1,0,40,0,0.39375,1,0
10,777,5,2,13,1,5,6,40,38,1118844,1,38,78,1,0.5958816,1,2
10,170,0,7,12,1,3,6,40,40,1118851,1,40,80,1,0.52352941,1,2
14,247,0,1,17,0,4,6,0,42,1118869,1,42,42,1,0.73279352,1,2
10,37,1,0,13,0,3,2,0,35,1118877,1,35,35,1,0.83783784,2,2
12,574,1,2,17,1,3,8,40,30,1118919,1,30,70,1,0.67073171,1,2
6,146,2,7,10,1,1,4,0,0,1118927,1,0,0,1,0.6369863,1,2
8,147,0,12,16,1,3,7,65,40,1118943,1,40,105,1,0.63945578,1,2
12,245,11,2,13,2,4,4,40,0,1118992,1,0,40,0,0.48163265,1,0
8,81,1,0,11,2,4,5,40,0,1119032,1,0,40,1,0.88888889,3,2
8,178,2,2,13,4,3,7,0,45,1119057,1,45,45,1,0.64044944,1,2
6,153,1,14,5,0,2,2,0,0,1119081,1,0,0,1,0.93464052,1,2
12,140,8,0,14,0,2,6,0,14,1119156,1,14,14,1,0.65,1,2
14,103,3,0,13,0,1,3,0,0,1119164,1,0,0,1,0.94174757,1,2
14,107,3,0,19,1,3,9,55,0,1119172,1,0,55,1,0.55140187,1,2
12,232,0,0,8,0,2,8,60,0,1119180,1,0,60,1,0.81896552,1,2
12,152,0,1,15,2,3,11,40,40,1119198,1,40,80,1,0.76315789,1,2
12,282,4,1,13,1,3,5,45,0,1119214,1,0,45,0,0.24468085,1,0
14,167,4,6,7,1,4,4,40,0,1119222,1,0,40,1,0.74251497,1,2
7,135,0,0,9,3,1,5,0,40,1119263,1,40,40,0,0.37777778,2,0
14,98,0,0,12,2,1,7,0,0,1119271,1,0,0,1,0.84693878,1,2
8,189,8,4,12,2,5,3,40,20,1119289,1,20,60,1,0.75132275,2,2
8,140,7,2,16,1,5,6,45,0,1119362,1,0,45,1,0.83571429,2,2
2,68,0,0,5,0,1,1,0,0,1119388,1,0,0,1,0.89705882,2,2
7,233,5,1,14,1,2,3,40,0,1119438,1,0,40,1,0.93991416,1,2
14,78,2,0,17,1,4,11,40,0,1119453,1,0,40,1,0.71794872,1,2
12,111,2,8,14,0,1,2,0,0,1119487,1,0,0,1,0.65765766,1,2
10,92,12,13,7,2,3,8,0,0,1119495,1,0,0,1,0.61956522,3,2
10,121,2,5,9,0,1,2,0,0,1119503,1,0,0,1,0.7768595,1,2
12,258,2,0,12,0,4,6,40,0,1119511,1,0,40,1,0.73255814,1,2
2,56,3,4,6,0,1,2,0,0,1119529,1,0,0,1,0.83928571,2,2
12,81,9,3,12,0,2,5,0,0,1119537,1,0,0,1,1,1,2
9,39,0,0,5,0,2,2,0,0,1119545,1,0,0,1,0.69230769,1,2
11,289,2,7,16,0,5,6,42,0,1119560,1,0,42,1,0.75086505,1,2
13,107,1,9,14,2,2,5,0,0,1119578,1,0,0,1,0.8411215,1,2
7,67,3,0,16,0,1,2,0,40,1119610,1,40,40,1,0.71641791,2,2
10,109,6,1,8,2,2,4,0,40,1119628,1,40,40,1,0.83486239,1,2
10,68,0,2,8,1,2,5,40,0,1119651,1,0,40,1,0.75,1,2
6,111,0,2,12,0,4,3,0,40,1119701,1,40,40,1,0.71171171,2,2
